workId,genreId
"thomas-tallis-1505-per-haec-nos--54","keyboard"
"thomas-tallis-1505-veni-redemptor-gentium--70","keyboard"
"thomas-tallis-1505-lesson-two-parts-in-one--37","keyboard"
"jan-pieterszoon-sweelinck-1562-toccata-no-2-in-g--46","keyboard"
"toru-takemitsu-1930-les-yeux-clos-48","keyboard"
"jan-pieterszoon-sweelinck-1562-pavana-hispanica-32","keyboard"
"thomas-tallis-1505-fantasy-16","keyboard"
"jan-pieterszoon-sweelinck-1562-poolse-almande-soll-es-sein-33","keyboard"
"jan-pieterszoon-sweelinck-1562-mein-junges-leben-hat-ein-end-swwv-324-variations-26","keyboard"
"karol-szymanowski-1882-fantasy-in-c-major-op-14-m13-18","keyboard"
"toru-takemitsu-1930-piano-pieces-for-children-57","keyboard"
"karol-szymanowski-1882-4-etudes-op-4-m3-6","keyboard"
"thomas-tallis-1505-felix-namque--18","keyboard"
"karol-szymanowski-1882-prelude-in-c-sharp-minor-33","keyboard"
"jan-pieterszoon-sweelinck-1562-onder-een-linde-groen-swwv-325-variations-30","keyboard"
"thomas-tallis-1505-felix-namque--17","keyboard"
"karol-szymanowski-1882-2-mazurkas-op-62-m73-1","keyboard"
"jan-pieterszoon-sweelinck-1562-nun-freut-euch-lieben-christen-gmein-chorale-variations-28","keyboard"
"karol-szymanowski-1882-3-masques-op-34-m35-4","keyboard"
"toru-takemitsu-1930-litany-in-memory-of-michael-vyner-49","keyboard"
"thomas-tallis-1505-clarifica-me-pater--8","keyboard"
"toru-takemitsu-1930-piano-distance-56","keyboard"
"toru-takemitsu-1930-uninterrupted-rest-93","keyboard"
"toru-takemitsu-1930-for-away-30","keyboard"
"karol-szymanowski-1882-variations-in-b-flat-minor-op-3-m5-46","keyboard"
"jan-pieterszoon-sweelinck-1562-toccata-for-keyboard-no-1-in-c--41","keyboard"
"jan-pieterszoon-sweelinck-1562-paduana-lachrimae-collorirt-for-organ-31","keyboard"
"karol-szymanowski-1882-romantic-waltz-m59a-36","keyboard"
"jan-pieterszoon-sweelinck-1562-ricercar-in-aeolian-mode-swwv-280-39","keyboard"
"thomas-tallis-1505-clarifica-me-pater--9","keyboard"
"karol-szymanowski-1882-metopes--op29-m31-24","keyboard"
"thomas-tallis-1505-ecce-tempus-idoneum--14","keyboard"
"jan-pieterszoon-sweelinck-1562-wij-geloven-in-eenen-god-alleen-chorale-variations-for-organ-swwv-316-51","keyboard"
"karol-szymanowski-1882-piano-sonata-no-3-op-36-m38-29","keyboard"
"jan-pieterszoon-sweelinck-1562-praeludium-toccata-in-a-minor-34","keyboard"
"jan-pieterszoon-sweelinck-1562-toccata-no-2-in-d-minor--45","keyboard"
"karol-szymanowski-1882-4-polish-dances-m60-7","keyboard"
"karol-szymanowski-1882-prelude-and-fugue-in-c-sharp-minor-m19-32","keyboard"
"thomas-tallis-1505-clarifica-me-pater--7","keyboard"
"toru-takemitsu-1930-lento-in-2-movements-47","keyboard"
"thomas-tallis-1505-ex-more-docti-myistico-15","keyboard"
"karol-szymanowski-1882-20-mazurkas-op-50-m56-2","keyboard"
"karol-szymanowski-1882-piano-sonata-no-2-in-a-major-op-21-m25-28","keyboard"
