id,name,title,description,popular,recommended,primarySource
"henry-purcell-1659-from-silent-shades-and-the-elysian-groves-z370-bess-of-bedlam-53","From Silent Shades and the Elysian Groves, Z.370, ""Bess of Bedlam""","From Silent Shades and the Elysian Groves, Z.370, ""Bess of Bedlam""","Purcell - From Silent Shades and the Elysian Groves, Z.370, ""Bess of Bedlam""",false,false,openopus
"henry-purcell-1659-fye-nay-prithee-john-54","Fye Nay Prithee John","Fye Nay Prithee John","Purcell - Fye Nay Prithee John",false,false,openopus
"henry-purcell-1659-ground-in-c-minor-z681-55","Ground in C minor, Z.681","Ground in C minor, Z.681","Purcell - Ground in C minor, Z.681",false,false,openopus
"henry-purcell-1659-ground-in-gamut-in-g-major-z645-56","Ground in Gamut in G major, Z.645","Ground in Gamut in G major, Z.645","Purcell - Ground in Gamut in G major, Z.645",false,false,openopus
"henry-purcell-1659-hail-gracious-glorianna-hail-for-2-voices-and-continuo-57","Hail Gracious Glorianna, Hail!, for 2 voices and continuo","Hail Gracious Glorianna, Hail!, for 2 voices and continuo","Purcell - Hail Gracious Glorianna, Hail!, for 2 voices and continuo",false,false,openopus
"henry-purcell-1659-hail-bright-cecilia-z328-58","Hail, Bright Cecilia, Z.328","Hail, Bright Cecilia, Z.328","Purcell - Hail, Bright Cecilia, Z.328",false,false,openopus
"henry-purcell-1659-hail-bright-cecilia-z328-59","Hail, bright Cecilia, Z.328","Hail, bright Cecilia, Z.328","Purcell - Hail, bright Cecilia, Z.328",false,true,openopus
"henry-purcell-1659-hark-how-the-wild-musicians-sing-z542-60","Hark, how the wild musicians sing, Z.542","Hark, how the wild musicians sing, Z.542","Purcell - Hark, how the wild musicians sing, Z.542",false,false,openopus
"henry-purcell-1659-hear-me-o-lord-the-great-support-sacred-song-for-alto-tenor-chorus-and-continuo-z133-61","Hear me, O Lord, the great support, sacred song for alto, tenor, chorus and continuo, Z.133","Hear me, O Lord, the great support, sacred song for alto, tenor, chorus and continuo, Z.133","Purcell - Hear me, O Lord, the great support, sacred song for alto, tenor, chorus and continuo, Z.133",false,false,openopus
"henry-purcell-1659-hear-my-prayer-o-god-for-alto-tenor-bass-chorus-and-organ-z14--62","Hear my prayer, O God, for alto, tenor, bass, chorus and organ, Z.14 ","Hear my prayer, O God, for alto, tenor, bass, chorus and organ, Z.14 ","Purcell - Hear my prayer, O God, for alto, tenor, bass, chorus and organ, Z.14 ",false,false,openopus
"henry-purcell-1659-hear-my-prayer-o-lord-for-chorus-violins-and-continuo-z15--63","Hear my prayer, O Lord, for chorus, violins and continuo, Z.15 ","Hear my prayer, O Lord, for chorus, violins and continuo, Z.15 ","Purcell - Hear my prayer, O Lord, for chorus, violins and continuo, Z.15 ",false,false,openopus
"henry-purcell-1659-hears-not-my-phyllis-z371-64","Hears not my Phyllis, Z.371","Hears not my Phyllis, Z.371","Purcell - Hears not my Phyllis, Z.371",false,false,openopus
