work_id,scored_for_type,scored_for_id,is_featured,status
antonio-vivaldi-1678-flute-concerto-in-d-minor-rv431a-il-gran-mogul-270,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-minor-rv431a-il-gran-mogul-270,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-d-minor-rv431a-il-gran-mogul-270,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-e-minor-rv431-271,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-e-minor-rv431-271,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-e-minor-rv431-271,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-e-minor-rv432-272,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-e-minor-rv432-272,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-e-minor-rv432-272,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-f-major-rv-433-op-10-no-1-la-tempesta-di-mare-273,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-f-major-rv-433-op-10-no-1-la-tempesta-di-mare-273,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-f-major-rv-433-op-10-no-1-la-tempesta-di-mare-273,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-f-major-rv434-op-10-no-5-274,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-f-major-rv434-op-10-no-5-274,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-f-major-rv434-op-10-no-5-274,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv102-275,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv102-275,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv102-275,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv435-276,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv435-276,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv435-276,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv436-277,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv436-277,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv436-277,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv437-278,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv437-278,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv437-278,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv438-279,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv438-279,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-major-rv438-279,instrument,lute,true,pending
antonio-vivaldi-1678-flute-concerto-in-g-minor-rv439-la-notte-280,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-minor-rv439-la-notte-280,instrument,lute,false,pending
antonio-vivaldi-1678-flute-concerto-in-g-minor-rv439-la-notte-280,instrument,lute,true,pending
antonio-vivaldi-1678-flute-sonata-in-c-major-rv48-281,instrument,lute,false,pending
antonio-vivaldi-1678-flute-sonata-in-c-major-rv48-281,instrument,piano,false,pending
antonio-vivaldi-1678-flute-sonata-in-e-minor-rv50-stoccolma-282,instrument,lute,false,pending
antonio-vivaldi-1678-flute-sonata-in-e-minor-rv50-stoccolma-282,instrument,piano,false,pending
antonio-vivaldi-1678-il-cimento-dellarmonia-e-dellinvenzione-concertos-for-violin-strings-and-continuo-op-8-nos-5-12-289,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-il-cimento-dellarmonia-e-dellinvenzione-concertos-for-violin-strings-and-continuo-op-8-nos-5-12-289,instrument,violin,false,pending
antonio-vivaldi-1678-il-cimento-dellarmonia-e-dellinvenzione-concertos-for-violin-strings-and-continuo-op-8-nos-5-12-289,instrument,violin,true,pending
antonio-vivaldi-1678-il-pastor-fido-sonatas-for-musette-vielle-flute-oboe-or-violin-and-continuo-rv54-59-290,instrument,lute,false,pending
antonio-vivaldi-1678-il-pastor-fido-sonatas-for-musette-vielle-flute-oboe-or-violin-and-continuo-rv54-59-290,instrument,piano,false,pending
antonio-vivaldi-1678-la-cetra-violin-concertos-op-9-312,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-la-cetra-violin-concertos-op-9-312,instrument,violin,false,pending
antonio-vivaldi-1678-la-cetra-violin-concertos-op-9-312,instrument,violin,true,pending
antonio-vivaldi-1678-la-stravaganza-12-violin-concertos-op-4-319,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-la-stravaganza-12-violin-concertos-op-4-319,instrument,violin,false,pending
antonio-vivaldi-1678-la-stravaganza-12-violin-concertos-op-4-319,instrument,violin,true,pending
antonio-vivaldi-1678-magnificat-in-g-minor-rv611--329,ensemble,choir,false,pending
antonio-vivaldi-1678-magnificat-in-g-minor-rv611--329,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-magnificat-rv610-330,ensemble,choir,false,pending
antonio-vivaldi-1678-magnificat-rv610-330,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-mandolin-concerto-in-c-major-rv425-331,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-mandolin-concerto-in-c-major-rv425-331,instrument,mandolin,false,pending
antonio-vivaldi-1678-mandolin-concerto-in-c-major-rv425-331,instrument,mandolin,true,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv461-340,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv461-340,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv461-340,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv462-341,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv462-341,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv462-341,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv463-342,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv463-342,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-a-minor-rv463-342,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-b-flat-major-rv464-343,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-b-flat-major-rv464-343,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-b-flat-major-rv464-343,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv-446-344,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv-446-344,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv-446-344,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv447-345,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv447-345,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv447-345,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv448-346,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv448-346,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv448-346,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv449-347,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv449-347,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv449-347,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv450-348,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv450-348,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv450-348,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv451-349,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv451-349,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv451-349,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv452-350,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv452-350,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-c-major-rv452-350,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-d-major-rv453-351,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-d-major-rv453-351,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-d-major-rv453-351,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-d-minor-rv454-352,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-d-minor-rv454-352,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-d-minor-rv454-352,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-f-major-rv455-353,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-f-major-rv455-353,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-f-major-rv455-353,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-f-major-rv457-354,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-f-major-rv457-354,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-f-major-rv457-354,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-concerto-in-g-minor-rv460-355,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-oboe-concerto-in-g-minor-rv460-355,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-concerto-in-g-minor-rv460-355,instrument,oboe,true,pending
antonio-vivaldi-1678-oboe-sonata-in-b-flat-major-rv34-356,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-sonata-in-b-flat-major-rv34-356,instrument,piano,false,pending
antonio-vivaldi-1678-oboe-sonata-in-c-minor-rv53-357,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-sonata-in-c-minor-rv53-357,instrument,piano,false,pending
antonio-vivaldi-1678-oboe-sonata-in-g-minor-rv28-358,instrument,oboe,false,pending
antonio-vivaldi-1678-oboe-sonata-in-g-minor-rv28-358,instrument,piano,false,pending
antonio-vivaldi-1678-piccolo--concerto-in-a-minor-rv445-368,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-piccolo--concerto-in-a-minor-rv445-368,instrument,piccolo,false,pending
antonio-vivaldi-1678-piccolo--concerto-in-a-minor-rv445-368,instrument,piccolo,true,pending
antonio-vivaldi-1678-piccolo--concerto-in-c-major-rv444-369,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-piccolo--concerto-in-c-major-rv444-369,instrument,piccolo,false,pending
antonio-vivaldi-1678-piccolo--concerto-in-c-major-rv444-369,instrument,piccolo,true,pending
antonio-vivaldi-1678-prelude-in-d-minor-for-cello-and-continuo-rv-38-370,instrument,cello,false,pending
antonio-vivaldi-1678-recorder--concerto-for-recorder-or-flute-strings-and-continuo-in-c-minor-rv441-372,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-recorder--concerto-for-recorder-or-flute-strings-and-continuo-in-c-minor-rv441-372,instrument,lute,false,pending
antonio-vivaldi-1678-recorder--concerto-for-recorder-or-flute-strings-and-continuo-in-c-minor-rv441-372,instrument,lute,true,pending
antonio-vivaldi-1678-recorder-concerto-in-c-major-rv443-373,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-recorder-concerto-in-c-major-rv443-373,instrument,recorder,false,pending
antonio-vivaldi-1678-recorder-concerto-in-c-major-rv443-373,instrument,recorder,true,pending
antonio-vivaldi-1678-recorder-concerto-in-f-major-rv442-374,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-recorder-concerto-in-f-major-rv442-374,instrument,recorder,false,pending
antonio-vivaldi-1678-recorder-concerto-in-f-major-rv442-374,instrument,recorder,true,pending
antonio-vivaldi-1678-recorder-sonata-in-d-minor-375,instrument,recorder,false,pending
antonio-vivaldi-1678-recorder-sonata-in-d-minor-375,instrument,piano,false,pending
antonio-vivaldi-1678-recorder-sonata-in-f-major-rv52-376,instrument,recorder,false,pending
antonio-vivaldi-1678-recorder-sonata-in-f-major-rv52-376,instrument,piano,false,pending
antonio-vivaldi-1678-recorder-sonata-in-g-major-rv-806-377,instrument,recorder,false,pending
antonio-vivaldi-1678-recorder-sonata-in-g-major-rv-806-377,instrument,piano,false,pending
antonio-vivaldi-1678-saraband-for-violin-and-continuo-in-c--384,instrument,violin,false,pending
antonio-vivaldi-1678-sinfonia-al-santo-sepolcro-sonata-for-2-violins-viola-and-continuo-in-b-minor-rv169-391,ensemble,symphony-orchestra,false,pending
antonio-vivaldi-1678-sinfonia-al-santo-sepolcro-sonata-for-2-violins-viola-and-continuo-rv169-392,ensemble,symphony-orchestra,false,pending
